ts,open,high,low,close,volume,sma_50
2025-11-18 00:00:00+00:00,6696.5,6708.75,6594.0,6639.75,2514985.0,6742.720400390625
2025-11-19 00:00:00+00:00,6630.75,6709.0,6613.25,6661.5,2041130.0,6745.155400390625
2025-11-20 00:00:00+00:00,6697.5,6791.25,6550.5,6557.5,2987357.0,6744.455400390625
2025-11-21 00:00:00+00:00,6560.0,6677.5,6525.0,6620.25,2592859.0,6745.095400390625
2025-11-24 00:00:00+00:00,6654.75,6731.75,6625.0,6721.25,1611105.0,6747.090400390625
2025-11-25 00:00:00+00:00,6726.25,6792.5,6674.5,6781.5,1656062.0,6750.505400390625
2025-11-26 00:00:00+00:00,6781.0,6846.75,6778.25,6828.0,1459184.0,6755.040400390625
2025-11-28 00:00:00+00:00,6830.25,6863.75,6824.25,6859.5,460053.0,6759.530400390625
2025-12-01 00:00:00+00:00,6854.75,6864.5,6802.0,6826.75,1472111.0,6762.89
2025-12-02 00:00:00+00:00,6829.0,6863.5,6812.25,6840.25,1455018.0,6764.645
2025-12-03 00:00:00+00:00,6843.0,6873.25,6817.5,6862.0,1310103.0,6767.585
2025-12-04 00:00:00+00:00,6866.0,6880.75,6836.25,6866.75,1323676.0,6771.075
2025-12-05 00:00:00+00:00,6865.5,6905.0,6856.75,6878.25,1336540.0,6775.445
2025-12-08 00:00:00+00:00,6883.0,6893.75,6835.25,6855.75,1257776.0,6778.63
2025-12-09 00:00:00+00:00,6865.0,6872.75,6844.0,6848.25,1008518.0,6781.325
2025-12-10 00:00:00+00:00,6847.25,6908.0,6830.75,6891.75,1473707.0,6784.385
2025-12-11 00:00:00+00:00,6887.0,6928.75,6817.5,6907.25,1815978.0,6787.3
2025-12-12 00:00:00+00:00,6914.0,6915.5,6805.0,6830.75,2609362.0,6788.58
2025-12-15 00:00:00+00:00,6831.0,6872.5,6806.25,6823.0,1771047.0,6789.76
2025-12-16 00:00:00+00:00,6825.25,6833.75,6762.0,6801.0,1070240.0,6790.005
2025-12-17 00:00:00+00:00,6796.0,6826.75,6723.75,6726.5,590558.0,6789.305
2025-12-18 00:00:00+00:00,6739.25,6818.5,6720.25,6778.25,416394.0,6788.845
2025-12-19 00:00:00+00:00,6772.25,6802.75,6768.0,6796.5400390625,1403081.0,6789.19080078125
2025-12-22 00:00:00+00:00,6906.25,6936.25,6900.5,6930.25,989308.0,6795.89080078125
2025-12-23 00:00:00+00:00,6930.75,6963.75,6913.25,6961.0,874601.0,6801.21580078125
2025-12-24 00:00:00+00:00,6959.5,6988.0,6952.5,6982.5,457055.0,6807.13580078125
2025-12-26 00:00:00+00:00,6979.5,6994.0,6969.0,6979.25,636544.0,6812.42080078125
2025-12-29 00:00:00+00:00,6980.5,6984.75,6936.0,6955.0,882739.0,6818.14580078125
2025-12-30 00:00:00+00:00,6956.5,6961.5,6940.75,6944.25,773655.0,6822.98080078125
2025-12-31 00:00:00+00:00,6945.5,6951.5,6890.25,6892.5,990179.0,6825.35580078125
2026-01-02 00:00:00+00:00,6902.0,6939.75,6866.75,6900.5,1571467.0,6827.90080078125
2026-01-05 00:00:00+00:00,6911.5,6963.5,6899.5,6943.75,1262018.0,6832.03580078125
2026-01-06 00:00:00+00:00,6945.5,6991.5,6931.0,6987.75,1192527.0,6836.29080078125
2026-01-07 00:00:00+00:00,6988.5,7006.75,6958.0,6963.25,1264816.0,6839.01580078125
2026-01-08 00:00:00+00:00,6967.5,6977.75,6935.25,6962.0,1303097.0,6840.09080078125
2026-01-09 00:00:00+00:00,6973.25,7017.5,6954.25,7005.0,1342341.0,6841.67580078125
2026-01-12 00:00:00+00:00,7007.0,7025.25,6950.0,7016.5,1063552.0,6843.55080078125
2026-01-13 00:00:00+00:00,7014.0,7036.25,6976.75,7001.75,1376658.0,6846.47580078125
2026-01-14 00:00:00+00:00,6998.5,7002.5,6923.25,6966.25,1768305.0,6848.32080078125
2026-01-15 00:00:00+00:00,6955.75,7017.25,6949.5,6981.75,1293668.0,6850.30080078125
2026-01-16 00:00:00+00:00,6986.75,7007.0,6960.5,6976.75,1297479.0,6853.80080078125
2026-01-20 00:00:00+00:00,6918.25,6935.0,6822.25,6829.5,2391547.0,6853.88580078125
2026-01-21 00:00:00+00:00,6839.0,6945.25,6814.5,6910.0,2200553.0,6857.13580078125
2026-01-22 00:00:00+00:00,6920.0,6969.0,6911.25,6945.0,1336659.0,6860.96080078125
2026-01-23 00:00:00+00:00,6938.0,6964.0,6924.75,6945.75,1221966.0,6862.74080078125
2026-01-26 00:00:00+00:00,6904.0,6995.5,6879.0,6981.25,1062544.0,6864.93580078125
2026-01-27 00:00:00+00:00,6977.0,7018.5,6972.0,7008.5,980139.0,6867.59080078125
2026-01-28 00:00:00+00:00,7010.25,7043.0,6977.25,7007.25,1187287.0,6872.53580078125
2026-01-29 00:00:00+00:00,7021.5,7029.5,6898.25,6992.75,1947645.0,6877.28580078125
2026-01-30 00:00:00+00:00,6992.75,6995.0,6917.5,6965.75,2046596.0,6882.76080078125
